x,y,z,block,state,phase
0,64,0,minecraft:stone_bricks,"{}","main: foundation"
1,64,0,minecraft:stone_bricks,"{}","main: foundation"
2,64,0,minecraft:stone_bricks,"{}","main: foundation"
3,64,0,minecraft:stone_bricks,"{}","main: foundation"
4,64,0,minecraft:stone_bricks,"{}","main: foundation"
5,64,0,minecraft:stone_bricks,"{}","main: foundation"
6,64,0,minecraft:stone_bricks,"{}","main: foundation"
7,64,0,minecraft:stone_bricks,"{}","main: foundation"
8,64,0,minecraft:stone_bricks,"{}","main: foundation"
9,64,0,minecraft:stone_bricks,"{}","main: foundation"
10,64,0,minecraft:stone_bricks,"{}","main: foundation"
11,64,0,minecraft:stone_bricks,"{}","main: foundation"
12,64,0,minecraft:stone_bricks,"{}","main: foundation"
13,64,0,minecraft:stone_bricks,"{}","main: foundation"
14,64,0,minecraft:stone_bricks,"{}","main: foundation"
15,64,0,minecraft:stone_bricks,"{}","main: foundation"
16,64,0,minecraft:stone_bricks,"{}","main: foundation"
0,64,1,minecraft:stone_bricks,"{}","main: foundation"
1,64,1,minecraft:stone_bricks,"{}","main: foundation"
2,64,1,minecraft:stone_bricks,"{}","main: foundation"
3,64,1,minecraft:stone_bricks,"{}","main: foundation"
4,64,1,minecraft:stone_bricks,"{}","main: foundation"
5,64,1,minecraft:stone_bricks,"{}","main: foundation"
6,64,1,minecraft:stone_bricks,"{}","main: foundation"
7,64,1,minecraft:stone_bricks,"{}","main: foundation"
8,64,1,minecraft:stone_bricks,"{}","main: foundation"
9,64,1,minecraft:stone_bricks,"{}","main: foundation"
10,64,1,minecraft:stone_bricks,"{}","main: foundation"
11,64,1,minecraft:stone_bricks,"{}","main: foundation"
12,64,1,minecraft:stone_bricks,"{}","main: foundation"
13,64,1,minecraft:stone_bricks,"{}","main: foundation"
14,64,1,minecraft:stone_bricks,"{}","main: foundation"
15,64,1,minecraft:stone_bricks,"{}","main: foundation"
16,64,1,minecraft:stone_bricks,"{}","main: foundation"
0,64,2,minecraft:stone_bricks,"{}","main: foundation"
1,64,2,minecraft:stone_bricks,"{}","main: foundation"
2,64,2,minecraft:stone_bricks,"{}","main: foundation"
3,64,2,minecraft:stone_bricks,"{}","main: foundation"
4,64,2,minecraft:stone_bricks,"{}","main: foundation"
5,64,2,minecraft:stone_bricks,"{}","main: foundation"
6,64,2,minecraft:stone_bricks,"{}","main: foundation"
7,64,2,minecraft:stone_bricks,"{}","main: foundation"
8,64,2,minecraft:stone_bricks,"{}","main: foundation"
9,64,2,minecraft:stone_bricks,"{}","main: foundation"
10,64,2,minecraft:stone_bricks,"{}","main: foundation"
11,64,2,minecraft:stone_bricks,"{}","main: foundation"
12,64,2,minecraft:stone_bricks,"{}","main: foundation"
13,64,2,minecraft:stone_bricks,"{}","main: foundation"
14,64,2,minecraft:stone_bricks,"{}","main: foundation"
15,64,2,minecraft:stone_bricks,"{}","main: foundation"
16,64,2,minecraft:stone_bricks,"{}","main: foundation"
0,64,3,minecraft:stone_bricks,"{}","main: foundation"
1,64,3,minecraft:stone_bricks,"{}","main: foundation"
2,64,3,minecraft:stone_bricks,"{}","main: foundation"
3,64,3,minecraft:stone_bricks,"{}","main: foundation"
4,64,3,minecraft:stone_bricks,"{}","main: foundation"
5,64,3,minecraft:stone_bricks,"{}","main: foundation"
6,64,3,minecraft:stone_bricks,"{}","main: foundation"
7,64,3,minecraft:stone_bricks,"{}","main: foundation"
8,64,3,minecraft:stone_bricks,"{}","main: foundation"
9,64,3,minecraft:stone_bricks,"{}","main: foundation"
10,64,3,minecraft:stone_bricks,"{}","main: foundation"
11,64,3,minecraft:stone_bricks,"{}","main: foundation"
12,64,3,minecraft:stone_bricks,"{}","main: foundation"
13,64,3,minecraft:stone_bricks,"{}","main: foundation"
14,64,3,minecraft:stone_bricks,"{}","main: foundation"
15,64,3,minecraft:stone_bricks,"{}","main: foundation"
16,64,3,minecraft:stone_bricks,"{}","main: foundation"
0,64,4,minecraft:stone_bricks,"{}","main: foundation"
1,64,4,minecraft:stone_bricks,"{}","main: foundation"
2,64,4,minecraft:stone_bricks,"{}","main: foundation"
3,64,4,minecraft:stone_bricks,"{}","main: foundation"
4,64,4,minecraft:stone_bricks,"{}","main: foundation"
5,64,4,minecraft:stone_bricks,"{}","main: foundation"
6,64,4,minecraft:stone_bricks,"{}","main: foundation"
7,64,4,minecraft:stone_bricks,"{}","main: foundation"
8,64,4,minecraft:stone_bricks,"{}","main: foundation"
9,64,4,minecraft:stone_bricks,"{}","main: foundation"
10,64,4,minecraft:stone_bricks,"{}","main: foundation"
11,64,4,minecraft:stone_bricks,"{}","main: foundation"
12,64,4,minecraft:stone_bricks,"{}","main: foundation"
13,64,4,minecraft:stone_bricks,"{}","main: foundation"
14,64,4,minecraft:stone_bricks,"{}","main: foundation"
15,64,4,minecraft:stone_bricks,"{}","main: foundation"
16,64,4,minecraft:stone_bricks,"{}","main: foundation"
0,64,5,minecraft:stone_bricks,"{}","main: foundation"
1,64,5,minecraft:stone_bricks,"{}","main: foundation"
2,64,5,minecraft:stone_bricks,"{}","main: foundation"
3,64,5,minecraft:stone_bricks,"{}","main: foundation"
4,64,5,minecraft:stone_bricks,"{}","main: foundation"
5,64,5,minecraft:stone_bricks,"{}","main: foundation"
6,64,5,minecraft:stone_bricks,"{}","main: foundation"
7,64,5,minecraft:stone_bricks,"{}","main: foundation"
8,64,5,minecraft:stone_bricks,"{}","main: foundation"
9,64,5,minecraft:stone_bricks,"{}","main: foundation"
10,64,5,minecraft:stone_bricks,"{}","main: foundation"
11,64,5,minecraft:stone_bricks,"{}","main: foundation"
12,64,5,minecraft:stone_bricks,"{}","main: foundation"
13,64,5,minecraft:stone_bricks,"{}","main: foundation"
14,64,5,minecraft:stone_bricks,"{}","main: foundation"
15,64,5,minecraft:stone_bricks,"{}","main: foundation"
16,64,5,minecraft:stone_bricks,"{}","main: foundation"
0,64,6,minecraft:stone_bricks,"{}","main: foundation"
1,64,6,minecraft:stone_bricks,"{}","main: foundation"
2,64,6,minecraft:stone_bricks,"{}","main: foundation"
3,64,6,minecraft:stone_bricks,"{}","main: foundation"
4,64,6,minecraft:stone_bricks,"{}","main: foundation"
5,64,6,minecraft:stone_bricks,"{}","main: foundation"
6,64,6,minecraft:stone_bricks,"{}","main: foundation"
7,64,6,minecraft:stone_bricks,"{}","main: foundation"
8,64,6,minecraft:stone_bricks,"{}","main: foundation"
9,64,6,minecraft:stone_bricks,"{}","main: foundation"
10,64,6,minecraft:stone_bricks,"{}","main: foundation"
11,64,6,minecraft:stone_bricks,"{}","main: foundation"
12,64,6,minecraft:stone_bricks,"{}","main: foundation"
13,64,6,minecraft:stone_bricks,"{}","main: foundation"
14,64,6,minecraft:stone_bricks,"{}","main: foundation"
15,64,6,minecraft:stone_bricks,"{}","main: foundation"
16,64,6,minecraft:stone_bricks,"{}","main: foundation"
0,64,7,minecraft:stone_bricks,"{}","main: foundation"
1,64,7,minecraft:stone_bricks,"{}","main: foundation"
2,64,7,minecraft:stone_bricks,"{}","main: foundation"
3,64,7,minecraft:stone_bricks,"{}","main: foundation"
4,64,7,minecraft:stone_bricks,"{}","main: foundation"
5,64,7,minecraft:stone_bricks,"{}","main: foundation"
6,64,7,minecraft:stone_bricks,"{}","main: foundation"
7,64,7,minecraft:stone_bricks,"{}","main: foundation"
8,64,7,minecraft:stone_bricks,"{}","main: foundation"
9,64,7,minecraft:stone_bricks,"{}","main: foundation"
10,64,7,minecraft:stone_bricks,"{}","main: foundation"
11,64,7,minecraft:stone_bricks,"{}","main: foundation"
12,64,7,minecraft:stone_bricks,"{}","main: foundation"
13,64,7,minecraft:stone_bricks,"{}","main: foundation"
14,64,7,minecraft:stone_bricks,"{}","main: foundation"
15,64,7,minecraft:stone_bricks,"{}","main: foundation"
16,64,7,minecraft:stone_bricks,"{}","main: foundation"
0,64,8,minecraft:stone_bricks,"{}","main: foundation"
1,64,8,minecraft:stone_bricks,"{}","main: foundation"
2,64,8,minecraft:stone_bricks,"{}","main: foundation"
3,64,8,minecraft:stone_bricks,"{}","main: foundation"
4,64,8,minecraft:stone_bricks,"{}","main: foundation"
5,64,8,minecraft:stone_bricks,"{}","main: foundation"
6,64,8,minecraft:stone_bricks,"{}","main: foundation"
7,64,8,minecraft:stone_bricks,"{}","main: foundation"
8,64,8,minecraft:stone_bricks,"{}","main: foundation"
9,64,8,minecraft:stone_bricks,"{}","main: foundation"
10,64,8,minecraft:stone_bricks,"{}","main: foundation"
11,64,8,minecraft:stone_bricks,"{}","main: foundation"
12,64,8,minecraft:stone_bricks,"{}","main: foundation"
13,64,8,minecraft:stone_bricks,"{}","main: foundation"
14,64,8,minecraft:stone_bricks,"{}","main: foundation"
15,64,8,minecraft:stone_bricks,"{}","main: foundation"
16,64,8,minecraft:stone_bricks,"{}","main: foundation"
0,64,9,minecraft:stone_bricks,"{}","main: foundation"
1,64,9,minecraft:stone_bricks,"{}","main: foundation"
2,64,9,minecraft:stone_bricks,"{}","main: foundation"
3,64,9,minecraft:stone_bricks,"{}","main: foundation"
4,64,9,minecraft:stone_bricks,"{}","main: foundation"
5,64,9,minecraft:stone_bricks,"{}","main: foundation"
6,64,9,minecraft:stone_bricks,"{}","main: foundation"
7,64,9,minecraft:stone_bricks,"{}","main: foundation"
8,64,9,minecraft:stone_bricks,"{}","main: foundation"
9,64,9,minecraft:stone_bricks,"{}","main: foundation"
10,64,9,minecraft:stone_bricks,"{}","main: foundation"
11,64,9,minecraft:stone_bricks,"{}","main: foundation"
12,64,9,minecraft:stone_bricks,"{}","main: foundation"
13,64,9,minecraft:stone_bricks,"{}","main: foundation"
14,64,9,minecraft:stone_bricks,"{}","main: foundation"
15,64,9,minecraft:stone_bricks,"{}","main: foundation"
16,64,9,minecraft:stone_bricks,"{}","main: foundation"
0,64,10,minecraft:stone_bricks,"{}","main: foundation"
1,64,10,minecraft:stone_bricks,"{}","main: foundation"
2,64,10,minecraft:stone_bricks,"{}","main: foundation"
3,64,10,minecraft:stone_bricks,"{}","main: foundation"
4,64,10,minecraft:stone_bricks,"{}","main: foundation"
5,64,10,minecraft:stone_bricks,"{}","main: foundation"
6,64,10,minecraft:stone_bricks,"{}","main: foundation"
7,64,10,minecraft:stone_bricks,"{}","main: foundation"
8,64,10,minecraft:stone_bricks,"{}","main: foundation"
9,64,10,minecraft:stone_bricks,"{}","main: foundation"
10,64,10,minecraft:stone_bricks,"{}","main: foundation"
11,64,10,minecraft:stone_bricks,"{}","main: foundation"
12,64,10,minecraft:stone_bricks,"{}","main: foundation"
13,64,10,minecraft:stone_bricks,"{}","main: foundation"
